Name,Team,Name,Team,Season,Age,W,L,ERA,G,IP,K/9,vFA (pi),ERA,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,NameASCII,PlayerId,MLBAMID
"Hunter Brown","HOU","Hunter Brown","HOU",2024,25,11,9,3.4941176470588236,31,170,9.476470588235294,96.12489516028828,3.4941176470588236,0.52959502,95.87843137,0.05434406,89.1910828,0.16787816,92.51546392,0.12461059,82.89722222,,,0.12357217,88.36134454,,,"Hunter Brown",25880,686613
"Jack Flaherty","- - -","Jack Flaherty","- - -",2024,28,13,7,3.166666741233796,28,162,10.777778031567657,93.40228853798587,3.166666741233796,0.46477228,93.24539363,0.29155313,84.79572764,,,0.21720514,77.42293907,0.02646944,85.85294118,,,,,"Jack Flaherty",17479,656427
"Jake Irvin","WSN","Jake Irvin","WSN",2024,27,10,14,4.412078391911096,33,187.2,7.481350316718815,94.06858093368237,4.412078391911096,0.57977676,93.79105323,0.0026264,86.125,0.06533158,89.95477387,0.31319764,81.15513627,0.03906763,88.62184874,,,,,"Jake Irvin",21504,663623
"Jameson Taillon","CHC","Jameson Taillon","CHC",2024,32,12,8,3.266129132736241,28,165.1,6.804435693200502,92.54225017289073,3.266129132736241,0.40555779,92.39821251,0.15465163,80.48697917,0.25050342,86.55787781,0.1469996,79.62191781,0.04228756,86.02857143,,,,,"Jameson Taillon",11674,592791
"José Berríos","TOR","José Berríos","TOR",2024,30,16,11,3.6031196793401095,32,192.1,7.159445596610867,94.18377198193916,3.6031196793401095,0.52161977,93.6625,,,0.03328758,91.37113402,0.28551819,83.25480769,0.15957447,84.86236559,,,,,"Jose Berrios",14168,621244
"Jose Quintana","NYM","Jose Quintana","NYM",2024,35,10,10,3.751467822393065,31,170.1,7.133072620043151,90.80221940313506,3.751467822393065,0.52891096,90.78739101,0.05391983,77.95394737,,,0.22419298,77.62816456,0.19297623,85.76470588,,,,,"Jose Quintana",11423,500779
"JP Sears","OAK","JP Sears","OAK",2024,28,11,13,4.383764084468382,32,180.2,6.824723631501913,92.25301067073171,4.383764084468382,0.47112356,91.51708767,0.33881694,78.94938017,,,,,0.1900595,83.97605893,,,,,"JP Sears",23429,676664
"Kevin Gausman","TOR","Kevin Gausman","TOR",2024,33,14,11,3.8287292817679557,31,181,8.05524861878453,94.01073561574697,3.8287292817679557,0.58382712,93.9181601,0.08365284,82.80416667,,,,,,,0.33252004,86.01886792,,,"Kevin Gausman",14107,592332
"Kutter Crawford","BOS","Kutter Crawford","BOS",2024,28,9,16,4.361161766047359,33,183.2,8.575318079306605,92.76775045955883,4.361161766047359,0.3372299,92.61764706,0.18349274,80.80501931,0.32022671,87.52433628,0.07155508,77.38613861,,,0.08749557,82.41700405,,,"Kutter Crawford",20531,676710
"Kyle Gibson","STL","Kyle Gibson","STL",2024,36,8,8,4.243615185667697,30,169.2,8.00982366294778,91.61108265027322,4.243615185667697,0.39218524,90.97416974,0.20875543,80.77642981,0.21562952,88.66946309,0.08429812,78.30901288,0.09913169,84.94160584,,,,,"Kyle Gibson",10123,502043
