Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Ryan Feltner","COL",0.49689682,94.52693208,0.24903026,87.59657321,,,0.10667184,79.34181818,0.14740109,85.26052632,,,,,0.00077519,"Ryan Feltner",21446,663372
"Jake Irvin","WSN",0.57977676,93.79105323,0.0026264,86.125,0.06533158,89.95477387,0.31319764,81.15513627,0.03906763,88.62184874,,,,,0.0013132,"Jake Irvin",21504,663623
"Cole Ragans","KCR",0.41821681,95.44785276,0.13341886,86.08894231,0.1080821,90.96130952,0.10359205,80.82972136,0.23669019,84.81842818,,,,,0.00032072,"Cole Ragans",21846,666142
"MacKenzie Gore","WSN",0.55344021,96.05431503,0.15698063,90.74893617,,,0.19706079,82.91186441,0.09251837,85.90974729,,,,,0.00033389,"MacKenzie Gore",22201,669022
"Tarik Skubal","DET",0.53907886,96.80459016,0.14619679,88.84009547,,,0.0418702,78.53333333,0.27285415,86.34883721,,,,,0.00069735,"Tarik Skubal",22267,669373
"JP Sears","OAK",0.47112356,91.51708767,0.33881694,78.94938017,,,,,0.1900595,83.97605893,,,,,0.0003499,"JP Sears",23429,676664
"Brayan Bello","BOS",0.4501845,95.70819672,0.2804428,86.83157895,,,,,0.26937269,87.67260274,,,,,0.00110579,"Brayan Bello",23920,678394
"Brady Singer","KCR",0.52764666,92.16357827,0.45515846,82.91777778,,,,,0.01719488,87.92156863,,,,,0.00101044,"Brady Singer",25377,663903
"Tanner Bibee","CLE",0.43739039,94.67522053,0.27849877,86.24055416,,,0.10452473,81.33221477,0.17958611,82.51953125,,,,,0.00070102,"Tanner Bibee",30134,676440
"Kutter Crawford","BOS",0.3372299,92.61764706,0.18349274,80.80501931,0.32022671,87.52433628,0.07155508,77.38613861,,,0.08749557,82.41700405,,,,"Kutter Crawford",20531,676710
"Shota Imanaga","CHC",0.52007722,91.70675575,0.07567568,81.65306122,0.0046332,89.66666667,0.03281853,72.54117647,0.02084942,88.74074074,0.34594595,82.79799107,,,0.00154202,"Shota Imanaga",33829,684007
"Chris Bassitt","TOR",0.45116593,92.57303371,0.1176073,77.25,0.19837783,89.63373083,0.13687056,71.02716049,0.05339642,84.46202532,0.04258195,84.20634921,,,0.00572776,"Chris Bassitt",12304,605135
"Bryce Miller","SEA",0.59403419,95.07042254,0.16806111,84.54545455,0.02218989,92.24590164,0.04474354,84.99186992,,,0.17097126,84.47021277,,,0.00145507,"Bryce Miller",29837,682243
"Logan Gilbert","SEA",0.3234714,96.61382114,0.32018409,88.50410678,0.1035503,92.38095238,0.11801446,83.29329609,,,0.13477975,84.52926829,,,0.00032873,"Logan Gilbert",22250,669302
"Seth Lugo","KCR",0.43894602,92.19838946,0.22975578,82.55944056,0.07326478,89.88596491,0.16580977,79.75193798,0.06105398,87.45789474,0.03116967,85.82474227,,,0.00128535,"Seth Lugo",12447,607625
"George Kirby","SEA",0.57633974,96.05964912,0.23862487,87.24858757,0.00370745,92.27272727,0.07954162,83.33898305,,,0.10144928,86.00664452,0.00033704,74,0.00067363,"George Kirby",25436,669923
"Kevin Gausman","TOR",0.58382712,93.9181601,0.08365284,82.80416667,,,,,,,0.33252004,86.01886792,,,0.03041568,"Kevin Gausman",14107,592332
"Zack Wheeler","PHI",0.60497766,95.11181435,0.12316528,84.97927461,0.0976388,91.09803922,0.10114869,81.84227129,,,0.07306956,86.17467249,,,0.00063776,"Zack Wheeler",10310,554430
"Colin Rea","MIL",0.50415094,92.60404192,0.17018868,82.06651885,0.19396226,87.69455253,0.04415094,78.79487179,,,0.08754717,86.54741379,,,0.00226244,"Colin Rea",12317,607067
"Erick Fedde","- - -",0.31176471,93.04661487,0.2017301,83.5025729,0.32318339,89.98286938,,,,,0.1633218,87.70974576,,,0.00172712,"Erick Fedde",17425,607200
"Hunter Brown","HOU",0.52959502,95.87843137,0.05434406,89.1910828,0.16787816,92.51546392,0.12461059,82.89722222,,,0.12357217,88.36134454,,,0.00034602,"Hunter Brown",25880,686613
"Nathan Eovaldi","TEX",0.37376049,95.48469388,0.02860412,85.97333333,0.15217391,91.31578947,0.13729977,76.79166667,,,0.30816171,88.48514851,,,0.00038124,"Nathan Eovaldi",9132,543135
"Tanner Houck","BOS",0.32394881,93.58803612,0.41352834,83.23430592,0.01462523,87.075,,,,,0.24789762,88.49705015,,,0.00182749,"Tanner Houck",19879,656557
"Brandon Pfaadt","ARI",0.55710705,93.78534704,0.27318296,84.85976409,,,0.05298962,80.84459459,0.11278195,87.4984127,0.00393842,89.81818182,,,0.00286021,"Brandon Pfaadt",27782,694297
