Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Michael Wacha","KCR",13,8,0,29,29,166.2,7.830000477905303,2.4300001483154388,0.9180000560302769,0.28964059196617337,0.77136515,0.385892116,0.085,93.75292179927303,3.3480002043457158,4.05,3.652479807952883,4.1408899252293105,3.3447632789611816,"Michael Wacha",14078,608379
"Griffin Canning","LAA",6,13,0,32,31,171.2,6.815534384453598,3.460194379799519,1.6252428147543196,0.2826086956521739,0.69595262,0.407129455,0.148325358,93.70315031828704,5.190291569699278,4.74,5.257742038134959,4.751002727914869,0.2112267892807722,"Griffin Canning",19867,656288
"Ronel Blanco","HOU",13,6,0,30,29,167.1,8.928287123973805,3.657370629097703,1.1832669682374921,0.22009569377990432,0.83550914,0.398169336,0.120218579,93.61698084826718,2.7968128340158906,4,4.146559489355193,4.090967087298483,2.1458259150385857,"Ronel Blanco",19407,669854
"Jack Flaherty","- - -",13,7,0,28,28,162,10.777778031567657,2.1111111608225306,1.3333333647300194,0.2853470437017995,0.80892608,0.395121951,0.154838709,93.40228853798587,3.166666741233796,3.54,3.4751217608661884,2.9958705333118116,3.215585768222809,"Jack Flaherty",17479,656427
"Miles Mikolas","STL",10,11,0,32,32,171.2,6.396116883871838,1.3106796893179997,1.3631068768907195,0.30996309963099633,0.62899787,0.419469026,0.126213592,93.39575892857142,5.3475731324174385,4.65,4.238324501998737,4.0838025414734505,1.9710718393325806,"Miles Mikolas",9803,571945
"Erick Fedde","- - -",9,9,0,31,31,177.1,7.815789697856177,2.6390978200553326,1.0150376230982048,0.27070707070707073,0.79234973,0.421052631,0.0990099,93.37863498263889,3.298872275069166,3.91,3.8600888207402355,4.116248779535615,3.4455986618995667,"Erick Fedde",17425,607200
"Colin Rea","MIL",12,6,1,32,27,167.2,7.2465211495356305,2.308151180963201,1.5566600987891355,0.28169014084507044,0.7662624,0.38771593,0.136792452,93.0369091892429,4.294234755280374,4.91,4.752960951768378,4.416255862175867,0.8552122116088867,"Colin Rea",12317,607067
"Logan Webb","SFG",13,10,0,33,33,204.2,7.563518291238209,2.198697177685526,0.4837133790908157,0.31518151815181517,0.71668064,0.568181818,0.078571428,92.83568188968121,3.473941540743131,4.31,2.9466100605212424,3.28218585995796,4.4186272621154785,"Logan Webb",17995,657277
"Kutter Crawford","BOS",9,16,0,33,33,183.2,8.575318079306605,2.499092697397925,1.6660617982652832,0.24693877551020407,0.70489845,0.33011583,0.1328125,92.76775045955883,4.361161766047359,3.86,4.647423598970047,4.348371778374868,1.8589684963226318,"Kutter Crawford",20531,676710
"Chris Bassitt","TOR",10,14,0,31,31,171,8.842105263157896,3.6842105263157894,0.9473684210526315,0.3333333333333333,0.72674419,0.402805611,0.101694915,92.66085178732014,4.157894736842105,4.52,4.078760480044181,4.275400760168569,2.1898112297058105,"Chris Bassitt",12304,605135
"Zach Eflin","- - -",10,9,0,28,28,165.1,7.294354894809992,1.3064516229510432,1.1975806543717895,0.2874251497005988,0.75215783,0.42746615,0.113402061,92.63402827099117,3.592741963115369,3.67,3.7652701054756896,3.809602550214079,2.77520489692688,"Zach Eflin",13774,621107
"Aaron Nola","PHI",14,8,0,33,33,199.1,8.894649056390591,2.2575251412158863,1.3545150847295317,0.29444444444444445,0.79,0.445229681,0.15625,92.5970207622298,3.5668897231211,3.72,3.944071771375267,3.4439326983857663,3.1602272987365723,"Aaron Nola",16149,605400
